8
2
1,0,0,0,1,
Democrat,Green,Libertarian,OtherParties,Republican
#PrecinctID,PrecinctPop,DemocratP,GreenP,LibertarianP,OtherPartiesP,RepublicanP
2400101-000,630,0.196825,0,0,0,0.625397,
2400102-000,708,0.216102,0,0,0,0.601695,
2400103-000,679,0.21944,0,0,0,0.597938,
2400104-002,752,0.422872,0,0,0,0.297872,
2400104-003,1093,0.37054,0,0,0,0.387923,
2400104-004,1285,0.395331,0,0,0,0.445914,
2400104-005,737,0.370421,0,0,0,0.378562,
2400104-008,1225,0.36,0,0,0,0.434286,
2400105-004,1051,0.394862,0,0,0,0.396765,
2400105-006,517,0.324952,0,0,0,0.489362,
2400106-001,1203,0.398171,0,0,0,0.398171,
2400106-003,634,0.454259,0,0,0,0.359621,
2400106-005,968,0.39876,0,0,0,0.417355,
2400106-006,1363,0.338225,0,0,0,0.488628,
2400107-001,1494,0.329317,0,0,0,0.488621,
2400107-002,1576,0.293782,0,0,0,0.540609,
2400108-000,2076,0.267341,0,0,0,0.558767,
2400109-000,787,0.191868,0,0,0,0.644219,
2400110-000,1266,0.161927,0,0,0,0.706951,
2400111-000,822,0.390511,0,0,0,0.442822,
2400112-000,2008,0.333665,0,0,0,0.463147,
2400113-000,1441,0.26787,0,0,0,0.553782,
2400114-000,499,0.466934,0,0,0,0.308617,
2400116-000,1441,0.253296,0,0,0,0.568355,
2400118-000,1370,0.20219,0,0,0,0.664964,
2400120-000,1321,0.254353,0,0,0,0.591219,
2400121-000,796,0.252513,0,0,0,0.576633,
2400122-001,1571,0.357097,0,0,0,0.422661,
2400122-002,102,0.352941,0,0,0,0.509804,
2400123-000,1791,0.396427,0,0,0,0.39866,
2400124-000,1239,0.256659,0,0,0,0.584342,
2400126-000,1788,0.354027,0,0,0,0.424497,
2400129-001,1732,0.297344,0,0,0,0.532333,
2400129-002,1541,0.305646,0,0,0,0.541207,
2400129-003,1165,0.330472,0,0,0,0.513305,
2400131-000,1030,0.276699,0,0,0,0.548544,
2400134-000,1289,0.325834,0,0,0,0.505818,
2400301-001,1670,0.407784,0,0,0,0.392814,
2400301-002,1662,0.379663,0,0,0,0.39651,
2400301-003,2083,0.423908,0,0,0,0.358617,
2400301-004,1974,0.572948,0,0,0,0.228977,
2400301-005,1733,0.481823,0,0,0,0.274091,
2400301-006,2318,0.560397,0,0,0,0.21484,
2400301-007,1535,0.362215,0,0,0,0.378502,
2400301-008,2159,0.397406,0,0,0,0.377953,
2400301-009,1833,0.380251,0,0,0,0.405892,
2400301-010,1340,0.380597,0,0,0,0.415672,
2400301-011,1121,0.353256,0,0,0,0.418376,
2400301-012,2764,0.632055,0,0,0,0.154124,
2400301-013,1105,0.508597,0,0,0,0.237104,
2400301-014,1797,0.441848,0,0,0,0.350028,
2400301-015,1730,0.46763,0,0,0,0.308092,
2400301-016,1914,0.504702,0,0,0,0.26698,
2400301-017,1333,0.471868,0,0,0,0.273818,
2400301-018,2696,0.579006,0,0,0,0.215875,
2400301-019,2263,0.543526,0,0,0,0.213433,
2400301-020,2328,0.521478,0,0,0,0.242698,
2400301-021,2295,0.677996,0,0,0,0.121569,
2400301-022,5072,0.50138,0,0,0,0.211751,
2400301-023,1253,0.577015,0,0,0,0.185156,
2400301-024,1415,0.536396,0,0,0,0.216254,
2400301-025,1361,0.41881,0,0,0,0.317414,
2400301-026,3422,0.701929,0,0,0,0.100818,
2400302-001,1693,0.396338,0,0,0,0.366214,
2400302-002,1552,0.461985,0,0,0,0.329897,
2400302-003,1745,0.452149,0,0,0,0.326648,
2400302-004,2390,0.459833,0,0,0,0.328452,
2400302-005,2152,0.518123,0,0,0,0.2421,
2400302-006,1642,0.440317,0,0,0,0.341657,
2400302-007,2692,0.472511,0,0,0,0.305721,
2400302-008,2527,0.403641,0,0,0,0.363672,
2400302-009,2218,0.527051,0,0,0,0.241659,
2400302-010,2120,0.386792,0,0,0,0.373585,
2400302-011,1361,0.415871,0,0,0,0.343865,
2400302-012,1599,0.399625,0,0,0,0.354597,
2400302-013,1486,0.39031,0,0,0,0.379542,
2400302-014,3012,0.657371,0,0,0,0.150398,
2400302-015,2338,0.535928,0,0,0,0.250642,
2400302-016,1465,0.386348,0,0,0,0.374744,
2400302-017,2600,0.598462,0,0,0,0.187308,
2400302-018,1655,0.485196,0,0,0,0.254381,
2400302-019,2325,0.568172,0,0,0,0.221935,
2400302-020,2072,0.426158,0,0,0,0.346525,
2400302-021,3040,0.339474,0,0,0,0.425,
2400302-022,2528,0.384494,0,0,0,0.373813,
2400302-023,2570,0.392607,0,0,0,0.335798,
2400302-024,2042,0.425563,0,0,0,0.337414,
2400303-001,1995,0.331328,0,0,0,0.441103,
2400303-002,1430,0.344755,0,0,0,0.393706,
2400303-003,2860,0.332517,0,0,0,0.412937,
2400303-004,2812,0.340327,0,0,0,0.412162,
2400303-005,2859,0.356069,0,0,0,0.418328,
2400303-006,7031,0.446167,0,0,0,0.32058,
2400303-007,2057,0.373845,0,0,0,0.388916,
2400303-008,2663,0.488171,0,0,0,0.284266,
2400303-009,1049,0.320305,0,0,0,0.459485,
2400303-010,2194,0.264357,0,0,0,0.524613,
2400303-011,2295,0.268845,0,0,0,0.512854,
2400303-012,2184,0.278846,0,0,0,0.5087,
2400303-013,2246,0.261799,0,0,0,0.524933,
2400303-014,1645,0.328267,0,0,0,0.448024,
2400303-015,1517,0.264997,0,0,0,0.543837,
2400303-016,2109,0.330014,0,0,0,0.41394,
2400303-017,1977,0.300961,0,0,0,0.489125,
2400303-018,2543,0.299253,0,0,0,0.492725,
2400303-019,2008,0.263446,0,0,0,0.520418,
2400303-020,1674,0.307049,0,0,0,0.490442,
