"NAME,C,38","CNG02,C,254","COUNTY,C,254","LEG02,C,254","VTD,C,254","MCD,C,254","STATE,C,254","VTD_1,C,254","PLACE,C,254","UNADJPOP,C,254","ADJ_POPULA,N,19,5","ADJ_WHITE,N,19,5","ADJ_BLACK,N,19,5","ADJ_AMINDI,N,19,5","ADJ_ASIAN,N,19,5","ADJ_HAWAII,N,19,5","ADJ_OTHER,N,19,5","ADJ_18__PO,N,19,5","ADJ2_RACES,N,19,5","UNADJHISP,N,19,5","ADJ_18__WH,N,19,5","ADJ_18__BL,N,19,5","ADJ_18__IN,N,19,5","ADJ_18__AS,N,19,5","ADJ_18__HW,N,19,5","ADJ_18__OT,N,19,5","HU_OCCUPIE,N,19,5","HOUSING_UN,N,19,5"
Baltimore County Precinct 09-006,2402,24005,24042,2400509-006,2400590748,24,09-006,2478425,6984,6990,4935,1363,12,335,2,181,6436,162,423,4667,1197,11,276,2,157,2889,3356
Baltimore County Precinct 08-016,2402,24005,24042,2400508-016,2400590656,24,08-016,2448875,801,803,681,37,1,60,0,3,623,21,14,535,31,1,44,0,2,349,357
Baltimore County Precinct 08-013,2402,24005,24042,2400508-013,2400590656,24,08-013,2478050,3350,3351,2949,62,1,242,3,40,2668,54,102,2396,47,1,175,3,25,1351,1410
Baltimore City Precinct 09-010,2407,24510,24043,2451009-010,2451090000,24,09-010,2404000,1771,1797,306,1410,7,15,0,26,1364,33,73,277,1027,7,15,0,15,715,816
Baltimore City Precinct 09-003,2407,24510,24043,2451009-003,2451090000,24,09-003,2404000,1850,1876,283,1498,4,27,0,19,1428,45,49,261,1103,4,23,0,11,723,833
Baltimore City Precinct 09-002,2407,24510,24043,2451009-002,2451090000,24,09-002,2404000,1496,1508,156,1291,16,15,1,9,1178,20,30,137,989,14,14,1,7,630,737
Baltimore City Precinct 09-009,2407,24510,24043,2451009-009,2451090000,24,09-009,2404000,1322,1348,92,1201,7,15,0,3,1028,30,25,83,905,7,12,0,1,460,543
Baltimore City Precinct 09-004,2407,24510,24043,2451009-004,2451090000,24,09-004,2404000,2342,2358,547,1688,5,62,1,9,1974,46,37,496,1377,5,52,1,6,1168,1269
Baltimore City Precinct 09-005,2407,24510,24043,2451009-005,2451090000,24,09-005,2404000,2136,2156,421,1644,9,30,0,14,1737,38,33,385,1291,8,22,0,12,795,838
Baltimore City Precinct 09-001,2407,24510,24043,2451009-001,2451090000,24,09-001,2404000,1071,1092,49,1021,1,2,2,6,803,11,12,45,745,1,2,0,4,389,458
Baltimore City Precinct 27-036,2407,24510,24043,2451027-036,2451090000,24,27-036,2404000,1338,1370,38,1274,13,6,0,13,1002,26,30,34,932,10,3,0,10,441,527
Baltimore City Precinct 27-035,2407,24510,24043,2451027-035,2451090000,24,27-035,2404000,4347,4405,125,4184,13,7,0,12,3319,64,41,109,3141,11,7,0,10,1680,2017
Baltimore City Precinct 27-026,2407,24510,24043,2451027-026,2451090000,24,27-026,2404000,1714,1722,319,1280,2,17,2,50,1489,52,95,284,1111,1,15,2,39,686,726
Baltimore City Precinct 27-027,2407,24510,24043,2451027-027,2451090000,24,27-027,2404000,2201,2226,37,2137,0,5,0,16,1747,31,32,34,1676,0,4,0,14,869,948
Baltimore City Precinct 27-028,2407,24510,24043,2451027-028,2451090000,24,27-028,2404000,1741,1758,37,1676,8,12,0,4,1389,21,18,35,1317,6,11,0,4,695,738
Baltimore City Precinct 27-029,2403,24510,24043,2451027-029,2451090000,24,27-029,2404000,1135,1155,33,1098,3,3,1,3,878,14,12,12,845,3,3,1,2,500,559
Baltimore City Precinct 09-008,2407,24510,24043,2451009-008,2451090000,24,09-008,2404000,2280,2365,25,2290,2,9,0,7,1728,32,22,23,1672,1,9,0,7,717,1027
Baltimore City Precinct 09-006,2407,24510,24043,2451009-006,2451090000,24,09-006,2404000,2470,2487,166,2239,3,17,0,6,1950,56,23,150,1741,3,15,0,4,930,997
Baltimore City Precinct 09-007,2407,24510,24043,2451009-007,2451090000,24,09-007,2404000,2391,2440,188,2164,10,16,0,13,1868,49,62,166,1642,9,15,0,5,780,927
Baltimore City Precinct 27-025,2407,24510,24043,2451027-025,2451090000,24,27-025,2404000,1650,1673,36,1587,2,11,0,11,1319,26,20,36,1251,1,10,0,8,653,732
Baltimore City Precinct 27-024,2407,24510,24043,2451027-024,2451090000,24,27-024,2404000,1194,1206,141,1028,4,5,0,6,1059,22,29,138,885,4,5,0,6,232,240
Baltimore City Precinct 27-023,2403,24510,24043,2451027-023,2451090000,24,27-023,2404000,745,754,30,703,1,5,0,6,597,9,12,30,547,1,5,0,6,280,290
Baltimore City Precinct 27-034,2403,24510,24043,2451027-034,2451090000,24,27-034,2404000,2204,2232,154,1989,6,18,0,12,1660,53,44,127,1475,4,11,0,10,844,1014
Baltimore City Precinct 27-033,2402,24510,24043,2451027-033,2451090000,24,27-033,2404000,2911,2929,644,2164,17,27,4,15,2334,58,55,576,1672,13,24,4,11,1213,1309
Baltimore City Precinct 27-032,2402,24510,24043,2451027-032,2451090000,24,27-032,2404000,3471,3489,1221,1944,10,113,5,126,2796,70,204,1058,1492,7,98,4,92,1603,1790
Baltimore County Precinct 09-014,2402,24005,24042,2400509-014,2400590748,24,09-014,2478425,3567,3573,2548,538,10,292,4,91,2587,90,202,1881,385,7,208,4,65,1366,1452
Baltimore County Precinct 09-013,2403,24005,24042,2400509-013,2400590748,24,09-013,2478425,3103,3103,2932,45,2,50,0,7,2145,67,61,2052,34,1,38,0,3,1059,1097
Baltimore City Precinct 27-030,2402,24510,24043,2451027-030,2451090000,24,27-030,2404000,2173,2188,68,2038,5,13,0,16,1718,48,43,61,1600,5,10,0,10,938,991
Baltimore City Precinct 27-031,2402,24510,24043,2451027-031,2451090000,24,27-031,2404000,3076,3099,154,2853,4,20,4,4,2357,60,42,147,2145,4,18,2,3,1209,1311
Baltimore City Precinct 27-022,2402,24510,24043,2451027-022,2451090000,24,27-022,2404000,3207,3239,211,2969,5,4,0,10,2579,40,31,210,2325,5,4,0,9,1181,1234
Baltimore City Precinct 27-021,2402,24510,24043,2451027-021,2451090000,24,27-021,2404000,3517,3540,266,3146,3,54,0,12,2788,59,60,244,2445,3,48,0,10,1598,1669
