"NAME,C,38","CNG02,C,254","COUNTY,C,254","LEG02,C,254","VTD,C,254","MCD,C,254","STATE,C,254","VTD_1,C,254","PLACE,C,254","UNADJPOP,C,254","ADJ_POPULA,N,19,5","ADJ_WHITE,N,19,5","ADJ_BLACK,N,19,5","ADJ_AMINDI,N,19,5","ADJ_ASIAN,N,19,5","ADJ_HAWAII,N,19,5","ADJ_OTHER,N,19,5","ADJ_18__PO,N,19,5","ADJ2_RACES,N,19,5","UNADJHISP,N,19,5","ADJ_18__WH,N,19,5","ADJ_18__BL,N,19,5","ADJ_18__IN,N,19,5","ADJ_18__AS,N,19,5","ADJ_18__HW,N,19,5","ADJ_18__OT,N,19,5","HU_OCCUPIE,N,19,5","HOUSING_UN,N,19,5"
Somerset Precinct 02-001,2401,24039,2438A,2403902-001,2403990168,24,02-001,,523,527,421,101,0,3,0,0,408,2,4,329,75,0,2,0,0,220,272
Somerset Precinct 05-001,2401,24039,2438A,2403905-001,2403990444,24,05-001,,891,895,713,167,3,3,0,4,730,5,7,594,126,3,3,0,2,377,469
Somerset Precinct 03-001,2401,24039,2438A,2403903-001,2403990260,24,03-001,,1491,1496,1124,268,8,18,0,40,1170,38,97,890,213,8,12,0,20,592,780
Somerset Precinct 13-003,2401,24039,2438A,2403913-003,2403991176,24,13-003,,283,285,213,68,0,0,0,4,219,0,5,160,55,0,0,0,4,107,134
Somerset Precinct 13-002,2401,24039,2438A,2403913-002,2403991176,24,13-002,,3768,947,456,477,2,1,1,-5,843,15,35,390,444,2,1,1,-6,183,220
Somerset Precinct 13-001,2401,24039,2438A,2403913-001,2403991176,24,13-001,,194,194,158,31,0,0,0,0,151,5,1,122,26,0,0,0,0,72,87
Somerset Precinct 01-002,2401,24039,2438A,2403901-002,2403990076,24,01-002,,3078,3097,1592,1298,6,22,5,106,2374,68,220,1321,946,5,14,2,66,1179,1363
Somerset Precinct 01-003,2401,24039,2438A,2403901-003,2403990076,24,01-003,2464000,236,238,91,131,0,9,0,0,188,7,18,71,102,0,9,0,0,97,110
Somerset Precinct 15-002,2401,24039,2438A,2403915-002,2403991360,24,15-002,,1489,1501,277,1148,0,18,0,14,1279,44,39,244,974,0,13,0,10,320,380
Somerset Precinct 01-001,2401,24039,2438A,2403901-001,2403990076,24,01-001,,1255,1259,755,430,2,18,0,12,1043,42,29,643,355,2,14,0,11,557,638
Somerset Precinct 15-001,2401,24039,2438A,2403915-001,2403991360,24,15-001,,4314,4329,887,3282,20,22,1,33,3786,84,106,719,2928,17,22,1,31,1327,1493
Worcester Precinct 01-001,2401,24047,2438B,2404701-001,2404790092,24,01-001,,3093,3105,1457,1520,14,42,0,7,2327,65,54,1170,1095,11,24,0,6,1191,1424
Somerset Precinct 04-001,2401,24039,2438A,2403904-001,2403990352,24,04-001,,1109,1115,854,210,3,18,0,5,925,25,12,718,174,3,14,0,3,476,552
Worcester Precinct 01-002,2401,24047,2438B,2404701-002,2404790092,24,01-002,,2776,2782,1829,803,7,38,0,42,2079,63,76,1452,545,5,26,0,23,1111,1233
Dorchester Precinct 18-001,2401,24019,2437B,2401918-001,2401991596,24,18-001,,73,73,68,0,5,0,0,0,70,0,0,65,0,5,0,0,0,39,89
Dorchester Precinct 11-001,2401,24019,2437B,2401911-001,2401990952,24,11-001,,58,58,53,0,0,0,0,3,49,2,3,44,0,0,0,0,3,27,49
Dorchester Precinct 13-002,2401,24019,2437A,2401913-002,,24,13-002,,171,176,93,80,0,0,0,1,150,2,0,80,70,0,0,0,0,80,90
Dorchester Precinct 17-001,2401,24019,2437A,2401917-001,2401991504,24,17-001,,258,259,210,47,0,0,0,0,207,2,1,170,35,0,0,0,0,99,117
Dorchester Precinct 14-002,2401,24019,2437A,2401914-002,2401991228,24,14-002,,83,83,57,22,0,0,0,0,63,4,1,40,22,0,0,0,0,39,49
Wicomico Precinct 17-001,2401,24045,2437B,2404517-001,2404591555,24,17-001,,1629,1632,1237,347,4,2,0,15,1352,27,36,1038,283,3,2,0,10,710,1012
Dorchester Precinct 03-001,2401,24019,2437B,2401903-001,2401990220,24,03-001,,387,388,344,34,1,0,0,5,309,4,2,274,31,1,0,0,3,160,205
Cecil Precinct 05-003,2401,24015,24036,2401505-003,2401590396,24,05-003,,6009,6012,5728,126,6,49,2,12,4596,89,104,4413,85,6,41,2,7,2169,2536
Kent Precinct 01-002,2401,24029,24036,2402901-002,2402990056,24,01-002,,2140,2143,1917,97,5,8,2,87,1685,27,142,1529,79,4,7,0,52,860,1048
Cecil Precinct 02-001,2401,24015,24036,2401502-001,2401590120,24,02-001,,2854,2857,2687,60,3,12,6,67,2283,22,162,2161,48,3,10,5,48,1119,1444
Cecil Precinct 02-002,2401,24015,24036,2401502-002,2401590120,24,02-002,,2698,2701,2539,86,6,15,0,14,2079,41,58,1961,68,5,12,0,9,1025,1222
Cecil Precinct 05-002,2401,24015,2434B,2401505-002,2401590396,24,05-002,,6628,6636,6198,215,22,50,0,32,4905,119,163,4623,151,17,39,0,14,2419,2876
Cecil Precinct 09-001,2401,24015,2434B,2401509-001,2401590764,24,09-001,,4928,4930,4768,55,7,27,1,8,3667,64,67,3576,38,7,15,1,2,1635,1694
Cecil Precinct 05-004,2401,24015,2434B,2401505-004,2401590396,24,05-004,,3598,3613,3083,330,18,52,0,27,2569,103,114,2265,201,15,35,0,19,1379,1518
Cecil Precinct 05-001,2401,24015,24036,2401505-001,2401590396,24,05-001,,6538,6556,6132,205,5,62,0,52,5002,100,171,4716,150,5,53,0,27,2487,2702
Cecil Precinct 03-002,2401,24015,24036,2401503-002,2401590212,24,03-002,,9425,9452,8105,904,30,74,2,123,7043,214,373,6238,556,21,58,2,80,3406,3657
Cecil Precinct 03-003,2401,24015,24036,2401503-003,2401590212,24,03-003,,8273,8289,6780,857,17,154,2,176,6061,303,471,5144,554,12,118,2,115,3017,3197
Cecil Precinct 04-001,2401,24015,2434B,2401504-001,2401590304,24,04-001,,6125,6130,5886,85,12,33,1,29,4673,84,140,4509,68,11,26,1,20,2197,2306
Cecil Precinct 03-001,2401,24015,24036,2401503-001,2401590212,24,03-001,,9303,9324,7198,1270,42,311,14,187,6897,302,602,5518,861,33,232,11,123,3374,3551
Cecil Precinct 04-002,2401,24015,24036,2401504-002,2401590304,24,04-002,,2722,2729,1661,760,17,60,1,49,1870,181,221,1214,489,11,52,1,37,954,1059
Worcester Precinct 04-001,2401,24047,2438B,2404704-001,2404790368,24,04-001,,760,762,631,98,2,18,0,0,598,13,22,502,77,2,14,0,0,304,358
Worcester Precinct 02-001,2401,24047,2438B,2404702-001,2404790184,24,02-001,,2797,2808,1392,1314,3,20,0,28,2220,51,76,1128,1032,3,13,0,21,1016,1195
Worcester Precinct 04-002,2401,24047,2438B,2404704-002,2404790368,24,04-002,,3383,3385,2914,347,15,34,0,21,2687,54,47,2354,277,7,24,0,9,1356,1524
Worcester Precinct 01-003,2401,24047,2438B,2404701-003,2404790092,24,01-003,,817,818,716,74,4,1,0,0,673,23,16,592,66,4,1,0,0,342,403
Worcester Precinct 02-002,2401,24047,2438B,2404702-002,2404790184,24,02-002,,899,904,704,172,0,8,0,7,719,13,10,566,140,0,2,0,3,362,411
Wicomico Precinct 15-001,2401,24045,2437A,2404515-001,2404591372,24,15-001,,3285,3305,2624,566,4,26,0,24,2479,61,60,1997,421,3,23,0,12,1221,1310
Wicomico Precinct 16-002,2401,24045,2438A,2404516-002,2404591464,24,16-002,,3011,3025,1965,835,4,117,0,20,2249,84,76,1560,562,3,74,0,16,1200,1347
Wicomico Precinct 08-004,2401,24045,2438A,2404508-004,2404590732,24,08-004,,3518,3520,3134,182,7,95,0,45,2657,57,69,2394,140,4,71,0,28,1282,1325
Wicomico Precinct 08-003,2401,24045,2438A,2404508-003,2404590732,24,08-003,,1755,1755,1348,245,2,118,0,13,1417,29,55,1121,181,2,83,0,12,736,773
Wicomico Precinct 13-003,2401,24045,2438A,2404513-003,2404591188,24,13-003,,3986,3988,3184,580,5,101,0,30,3629,88,127,2978,468,3,84,0,28,1238,1306
Wicomico Precinct 13-001,2401,24045,2438B,2404513-001,2404591188,24,13-001,,6325,6340,4991,971,18,116,0,112,5682,132,339,4579,797,14,99,0,87,1828,2008
Wicomico Precinct 09-004,2401,24045,2437A,2404509-004,2404590824,24,09-004,2469925,331,333,215,79,1,9,0,13,252,16,19,168,61,1,8,0,6,140,164
Wicomico Precinct 09-002,2401,24045,2437A,2404509-002,2404590824,24,09-002,,4837,4926,640,4053,11,14,0,96,3575,112,242,497,2950,9,10,0,61,1830,2034
Wicomico Precinct 13-002,2401,24045,2437A,2404513-002,2404591188,24,13-002,,6471,6544,3306,2480,23,154,3,356,4987,222,692,2806,1676,17,121,3,261,2496,2865
Wicomico Precinct 08-002,2401,24045,2438B,2404508-002,2404590732,24,08-002,,1050,1050,924,79,0,32,2,3,942,10,15,852,58,0,25,1,2,612,670
Wicomico Precinct 05-002,2401,24045,2437A,2404505-002,2404590456,24,05-002,,6761,6862,2833,3324,16,74,13,327,4940,275,670,2283,2260,13,60,13,211,2299,2574
Wicomico Precinct 09-001,2401,24045,2438B,2404509-001,2404590824,24,09-001,,2296,2305,1389,806,3,27,2,47,1871,31,68,1177,616,3,18,2,43,682,757
Wicomico Precinct 08-001,2401,24045,2438A,2404508-001,2404590732,24,08-001,,2324,2330,1918,279,3,60,0,0,1808,70,64,1540,187,3,38,0,0,898,959
Wicomico Precinct 05-004,2401,24045,2438B,2404505-004,2404590456,24,05-004,,4924,4934,3612,897,10,139,2,97,4064,177,203,3112,667,10,108,0,74,2247,2402
Wicomico Precinct 05-003,2401,24045,2438B,2404505-003,2404590456,24,05-003,,3777,3797,2786,649,2,132,4,155,2964,69,252,2259,465,1,100,2,108,1533,1646
Wicomico Precinct 05-005,2401,24045,2438B,2404505-005,2404590456,24,05-005,,2058,2061,1813,163,3,22,0,22,1616,38,61,1456,111,3,22,0,12,799,868
Wicomico Precinct 11-002,2401,24045,2437A,2404511-002,2404591004,24,11-002,,718,723,390,277,2,24,1,12,518,17,13,265,214,2,19,1,8,235,246
Wicomico Precinct 11-001,2401,24045,2438B,2404511-001,2404591004,24,11-001,,4431,4445,3180,902,8,172,0,60,3302,123,177,2444,634,7,134,0,40,1696,1890
Wicomico Precinct 05-006,2401,24045,2438B,2404505-006,2404590456,24,05-006,,4248,4253,3375,440,13,215,7,73,3395,130,142,2794,333,8,140,5,56,1833,2038
Anne Arundel Precinct 07-025,2405,24003,24030,2400307-025,2400390560,24,07-025,2471450,2960,2964,2574,285,9,21,0,20,2240,55,75,1949,236,8,14,0,11,1113,1234
Anne Arundel Precinct 07-003,2405,24003,24030,2400307-003,2400390560,24,07-003,2471450,2343,2348,1929,320,11,21,0,19,1844,48,50,1522,265,8,17,0,15,959,1178
Anne Arundel Precinct 07-010,2405,24003,24030,2400307-010,2400390560,24,07-010,,3149,3151,2908,109,11,28,1,29,2420,65,102,2259,84,6,22,1,18,1196,1325
Anne Arundel Precinct 07-019,2405,24003,24030,2400307-019,2400390560,24,07-019,,3593,3598,3294,62,21,45,0,98,2790,78,218,2595,45,14,36,0,57,1387,1482
Anne Arundel Precinct 07-006,2405,24003,24030,2400307-006,2400390560,24,07-006,2451575,3869,3872,3636,47,14,40,0,48,2926,87,127,2770,35,10,31,0,32,1428,1546
Wicomico Precinct 05-007,2401,24045,2438B,2404505-007,2404590456,24,05-007,,1820,1821,1627,104,2,47,0,5,1427,36,30,1295,78,1,32,0,5,706,752
Wicomico Precinct 06-001,2401,24045,2438B,2404506-001,2404590548,24,06-001,,851,854,804,30,1,3,0,4,665,12,17,626,23,1,3,0,2,341,384
Wicomico Precinct 04-001,2401,24045,2438B,2404504-001,2404590364,24,04-001,,3502,3513,3192,163,7,45,0,29,2693,77,77,2472,121,7,37,0,21,1383,1558
Wicomico Precinct 14-001,2401,24045,2438B,2404514-001,2404591280,24,14-001,,2106,2111,1916,109,6,30,0,17,1598,33,51,1472,77,6,19,0,11,805,888
Worcester Precinct 04-003,2401,24047,2438B,2404704-003,2404790368,24,04-003,,2344,2349,1967,278,9,27,2,32,1873,34,79,1567,228,9,19,2,26,911,1040
Worcester Precinct 02-003,2401,24047,2438B,2404702-003,2404790184,24,02-003,,3416,3439,1568,1516,18,39,0,169,2525,129,248,1192,1121,10,31,0,120,1325,1553
Worcester Precinct 03-003,2401,24047,2438B,2404703-003,2404790276,24,03-003,,3438,3440,3081,211,15,41,0,31,2725,61,109,2464,159,9,32,0,24,1312,1755
Worcester Precinct 06-002,2401,24047,2438B,2404706-002,2404790551,24,06-002,,2144,2151,1968,108,4,23,1,25,1809,22,56,1683,85,2,19,1,18,968,1429
Worcester Precinct 05-002,2401,24047,2438B,2404705-002,2404790460,24,05-002,2458275,2863,2864,2676,86,6,16,1,35,2431,44,83,2296,67,6,13,1,28,1306,2041
Worcester Precinct 05-001,2401,24047,2438B,2404705-001,2404790460,24,05-001,2458275,4859,4861,4600,121,3,57,1,16,4186,63,101,4011,91,3,41,1,7,2289,3323
Worcester Precinct 03-001,2401,24047,2438B,2404703-001,2404790276,24,03-001,2483225,2625,2626,2498,23,3,26,0,25,1965,51,89,1897,17,3,16,0,15,1008,1298
Worcester Precinct 06-001,2401,24047,2438B,2404706-001,2404790551,24,06-001,2458275,2489,2489,2386,38,7,24,1,10,2243,23,38,2169,34,7,21,1,3,1191,2404
Worcester Precinct 06-003,2401,24047,2438B,2404706-003,2404790551,24,06-003,,2475,2477,2286,123,3,21,0,10,1919,34,52,1773,103,3,16,0,8,952,1182
Montgomery Precinct 04-007,2408,24031,24017,2403104-007,2403190336,24,04-007,,4439,4442,2372,369,27,632,4,799,3493,239,1496,1964,263,16,505,4,594,1402,1454
Montgomery Precinct 04-006,2408,24031,24017,2403104-006,2403190336,24,04-006,2467675,3806,3810,2378,227,33,392,0,579,2966,201,1263,1948,147,25,314,0,414,1234,1290
Montgomery Precinct 04-027,2408,24031,24018,2403104-027,2403190336,24,04-027,,2021,2022,696,284,17,612,8,349,1588,56,673,562,214,14,483,8,270,771,1099
Montgomery Precinct 04-009,2408,24031,24017,2403104-009,,24,04-009,,2412,2413,1476,173,12,319,2,275,1952,156,679,1231,130,10,273,2,206,809,835
Montgomery Precinct 13-051,2404,24031,24019,2403113-051,,24,13-051,,4122,4123,2927,326,6,412,0,294,3200,158,753,2322,246,6,345,0,213,1543,1582
Montgomery Precinct 04-034,2404,24031,24019,2403104-034,2403190336,24,04-034,,2376,2378,1765,174,5,271,2,67,1808,94,236,1366,129,4,218,1,42,794,810
Montgomery Precinct 13-043,2408,24031,24019,2403113-043,2403191160,24,13-043,2402825,3663,3666,1883,269,35,538,1,702,2835,238,1700,1489,213,19,436,1,515,1000,1050
Montgomery Precinct 13-045,2408,24031,24019,2403113-045,2403191160,24,13-045,2402825,3022,3025,1718,323,18,466,6,405,2304,89,1075,1353,226,12,372,5,283,903,934
Montgomery Precinct 13-036,2408,24031,24018,2403113-036,2403191160,24,13-036,2483775,5569,5575,2327,588,39,952,11,1323,4271,335,2686,1836,461,30,759,11,938,1512,1580
Montgomery Precinct 13-037,2408,24031,24019,2403113-037,2403191160,24,13-037,,4102,4104,2133,395,42,508,0,815,3164,211,1956,1692,303,33,413,0,587,1159,1215
Montgomery Precinct 13-035,2408,24031,24019,2403113-035,2403191160,24,13-035,,5078,5084,2166,632,31,761,0,1183,3860,311,2468,1693,493,26,606,0,830,1315,1371
Montgomery Precinct 13-064,2408,24031,24019,2403113-064,2403191160,24,13-064,,7412,7423,2107,3190,35,512,6,1173,5508,400,2585,1659,2308,26,398,5,849,2631,2784
Montgomery Precinct 13-052,2404,24031,24019,2403113-052,2403191160,24,13-052,2402825,2900,2900,2207,202,6,262,3,101,2249,119,392,1742,162,3,214,3,74,1055,1080
Montgomery Precinct 08-003,2404,24031,24019,2403108-003,,24,08-003,,3590,3591,2981,163,12,324,0,29,2707,82,191,2225,128,10,282,0,22,1272,1289
Montgomery Precinct 13-046,2404,24031,24019,2403113-046,2403191160,24,13-046,2402825,3015,3016,2030,332,11,360,0,166,2331,117,585,1617,234,9,279,0,122,999,1042
Montgomery Precinct 08-004,2404,24031,24019,2403108-004,2403190704,24,08-004,,1716,1716,1359,101,6,169,0,30,1337,51,110,1067,78,4,144,0,22,572,591
Montgomery Precinct 08-008,2404,24031,24019,2403108-008,2403190704,24,08-008,,3660,3662,2737,304,2,484,0,60,2777,75,239,2113,218,1,362,0,44,1192,1219
Montgomery Precinct 08-009,2404,24031,24014,2403108-009,2403190704,24,08-009,2458900,4615,4616,3289,478,16,456,4,227,3473,146,582,2523,357,12,350,4,162,1544,1577
Montgomery Precinct 08-001,2404,24031,24019,2403108-001,2403190704,24,08-001,2458900,4497,4499,3328,523,16,394,1,130,3317,107,408,2492,363,12,302,1,89,1560,1591
Montgomery Precinct 08-012,2404,24031,24019,2403108-012,2403190704,24,08-012,,3850,3850,2638,479,4,566,0,54,2576,109,241,1770,314,4,413,0,39,1181,1214
Montgomery Precinct 08-005,2404,24031,24014,2403108-005,2403190704,24,08-005,,3376,3378,2950,198,11,100,0,48,2567,71,180,2267,145,9,81,0,30,1174,1201
Montgomery Precinct 01-002,2404,24031,24014,2403101-002,2403190060,24,01-002,,4764,4769,3285,718,18,317,0,254,3515,177,598,2508,503,12,248,0,164,1568,1628
Montgomery Precinct 12-003,2406,24031,24014,2403112-003,2403191068,24,12-003,,5097,5099,4243,305,13,276,11,123,3659,128,411,3114,195,9,202,8,78,1624,1655
Montgomery Precinct 12-001,2406,24031,24014,2403112-001,2403191068,24,12-001,,3032,3033,2671,117,28,58,1,95,2214,63,304,1987,78,15,39,1,65,1012,1061
Montgomery Precinct 01-001,2404,24031,24014,2403101-001,2403190060,24,01-001,,3282,3284,2762,219,16,132,2,61,2543,92,234,2154,175,12,111,2,39,1131,1169
Howard Precinct 04-003,2407,24027,2409A,2402704-003,2402790328,24,04-003,,2302,2303,2037,94,8,101,4,18,1721,41,64,1544,65,8,71,4,11,781,837
Frederick Precinct 14-001,2406,24021,2403B,2402114-001,2402191232,24,14-001,,4795,4798,4546,99,8,66,3,17,3633,59,101,3478,68,5,49,1,11,1722,1783
Frederick Precinct 03-001,2406,24021,2404A,2402103-001,2402190224,24,03-001,,2726,2726,2556,36,5,44,0,30,2062,55,80,1955,31,4,29,0,18,1004,1073
Frederick Precinct 23-001,2406,24021,2403B,2402123-001,2402192060,24,23-001,,5440,5443,4333,513,23,250,5,156,4120,163,484,3399,353,16,182,3,99,2086,2211
Frederick Precinct 24-003,2406,24021,2403B,2402124-003,2402192152,24,24-003,,801,802,773,7,1,7,0,6,675,8,21,657,4,1,7,0,3,301,320
Frederick Precinct 03-003,2406,24021,2404A,2402103-003,2402190224,24,03-003,,3039,3040,2774,75,6,115,1,17,2135,52,115,1977,51,5,75,1,9,1045,1078
Frederick Precinct 24-001,2406,24021,2403A,2402124-001,2402192152,24,24-001,,2087,2087,1946,31,0,49,1,13,1667,47,76,1574,23,0,36,1,10,834,903
Frederick Precinct 02-015,2406,24021,2403A,2402102-015,2402190132,24,02-015,,4031,4036,3279,449,21,132,2,19,3270,134,179,2773,302,16,106,2,14,1813,1962
Frederick Precinct 26-001,2406,24021,2404A,2402126-001,2402192336,24,26-001,,4828,4833,4274,263,15,102,1,59,3583,119,205,3224,188,10,74,1,43,1692,1778
Washington Precinct 07-002,2406,24043,2402A,2404307-002,2404390636,24,07-002,,2975,2977,2731,126,5,31,0,25,2007,59,120,1872,76,4,25,0,15,1012,1082
Washington Precinct 07-001,2406,24043,2402A,2404307-001,2404390636,24,07-001,,3368,3370,3198,49,11,14,0,39,2586,59,104,2490,27,7,9,0,26,1250,1324
Washington Precinct 14-001,2406,24043,2402A,2404314-001,2404391276,24,14-001,,1153,1154,1111,5,1,3,0,17,884,17,22,860,4,1,2,0,11,431,462
Washington Precinct 14-002,2406,24043,2402A,2404314-002,2404391276,24,14-002,,1599,1599,1501,47,5,4,1,9,1184,32,19,1124,27,5,4,1,6,606,677
Frederick Precinct 10-001,2406,24021,2404A,2402110-001,2402190868,24,10-001,,2339,2343,2266,48,1,6,0,4,1803,18,46,1763,22,1,5,0,4,834,930
Frederick Precinct 15-001,2406,24021,2404A,2402115-001,2402191324,24,15-001,,3933,3935,3793,47,5,29,0,11,2999,50,58,2902,34,5,23,0,9,1505,1601
Frederick Precinct 15-002,2406,24021,2404A,2402115-002,2402191324,24,15-002,,5010,5013,4815,30,25,37,0,41,3797,65,115,3669,24,14,29,0,31,1893,2020
Frederick Precinct 04-001,2406,24021,2404A,2402104-001,2402190316,24,04-001,,1247,1248,1198,5,3,16,0,4,1008,22,22,975,3,3,10,0,3,482,521
Frederick Precinct 07-002,2406,24021,2403B,2402107-002,2402190592,24,07-002,,6362,6363,3964,627,21,1291,2,172,4026,286,692,2554,420,17,837,2,103,1886,1975
Frederick Precinct 09-001,2406,24021,2404A,2402109-001,2402190776,24,09-001,,3502,3502,3163,108,16,105,0,26,2425,84,125,2228,81,9,66,0,17,1182,1229
Frederick Precinct 09-006,2406,24021,2403A,2402109-006,2402190776,24,09-006,,4180,4183,3653,228,18,152,0,35,2871,97,175,2541,165,13,96,0,21,1452,1491
Frederick Precinct 13-001,2406,24021,2404A,2402113-001,2402191140,24,13-001,,5205,5208,4839,144,10,75,0,36,3755,104,200,3507,117,8,57,0,24,1794,1877
Frederick Precinct 09-007,2406,24021,2404A,2402109-007,2402190776,24,09-007,,5385,5387,4998,126,4,97,1,25,3627,136,267,3396,87,3,73,1,13,1769,1835
Frederick Precinct 09-004,2406,24021,2403B,2402109-004,2402190776,24,09-004,,4256,4256,4043,47,10,47,3,35,3137,71,156,3003,42,8,37,2,18,1404,1425
Frederick Precinct 09-002,2406,24021,2404A,2402109-002,2402190776,24,09-002,,4262,4266,4004,60,10,61,1,47,3316,83,157,3140,42,9,52,0,28,1452,1489
Frederick Precinct 09-005,2406,24021,2404A,2402109-005,2402190776,24,09-005,,1935,1935,1805,26,2,28,1,21,1427,52,70,1354,22,1,17,1,10,672,695
Frederick Precinct 26-002,2406,24021,2404A,2402126-002,2402192336,24,26-002,,4481,4487,3667,424,6,88,1,135,3260,166,323,2800,257,5,58,1,82,1552,1644
Frederick Precinct 11-001,2406,24021,2404A,2402111-001,2402190956,24,11-001,,3400,3401,3193,69,5,29,0,44,2581,61,124,2456,41,5,26,0,29,1236,1289
Frederick Precinct 08-001,2406,24021,2404A,2402108-001,2402190684,24,08-001,,2460,2462,2340,46,7,21,0,14,1879,34,48,1795,41,7,16,0,9,911,968
Frederick Precinct 17-001,2406,24021,2404A,2402117-001,2402191508,24,17-001,,2212,2214,2130,23,4,8,0,10,1705,39,51,1666,14,3,5,0,8,772,813
Frederick Precinct 18-001,2406,24021,2404B,2402118-001,2402191600,24,18-001,,6360,6364,5877,196,14,101,0,68,4397,108,288,4076,140,13,66,0,49,2006,2053
Howard Precinct 04-001,2407,24027,2409A,2402704-001,2402790328,24,04-001,,2028,2029,1868,55,3,42,1,25,1499,35,99,1393,42,2,28,1,19,671,689
Frederick Precinct 18-002,2406,24021,2404A,2402118-002,2402191600,24,18-002,,3268,3270,3153,41,5,23,0,8,2491,40,44,2421,27,5,15,0,4,1107,1154
Carroll Precinct 13-001,2406,24013,2404B,2401313-001,2401391124,24,13-001,,4701,4706,4369,113,6,95,1,24,3454,98,183,3246,83,6,64,0,14,1714,1805
Carroll Precinct 13-002,2406,24013,2404B,2401313-002,2401391124,24,13-002,,5277,5279,4882,140,5,108,5,45,3613,94,190,3348,110,3,89,2,24,1680,1727
Howard Precinct 04-005,2407,24027,2409A,2402704-005,2402790328,24,04-005,,1925,1925,1730,61,2,60,3,34,1440,35,86,1309,45,2,44,0,20,631,658
Carroll Precinct 09-002,2406,24013,2404B,2401309-002,2401390760,24,09-002,,3868,3872,3689,57,10,31,2,38,2990,45,103,2856,48,7,24,0,25,1316,1364
Frederick Precinct 19-001,2406,24021,2404A,2402119-001,2402191692,24,19-001,,1755,1758,1670,30,2,15,0,29,1312,12,56,1249,26,2,9,0,18,601,648
Carroll Precinct 12-001,2406,24013,2404B,2401312-001,2401391032,24,12-001,,1551,1553,1436,83,5,0,0,8,1188,21,21,1096,71,5,0,0,7,602,664
Carroll Precinct 11-001,2406,24013,2404B,2401311-001,,24,11-001,,3677,3686,3464,118,2,26,6,28,2842,42,85,2689,89,1,17,5,25,1362,1462
Frederick Precinct 24-002,2406,24021,2403A,2402124-002,2402192152,24,24-002,,2660,2661,2063,293,3,145,1,87,1992,69,188,1609,188,3,100,1,60,917,962
Frederick Precinct 03-002,2406,24021,2404A,2402103-002,2402190224,24,03-002,,4260,4261,4049,55,6,58,4,11,3177,78,97,3051,43,4,38,3,10,1484,1532
Frederick Precinct 16-001,2406,24021,2404A,2402116-001,2402191416,24,16-001,,4208,4210,4026,51,10,40,2,20,3130,61,108,3010,39,9,29,2,12,1479,1562
Frederick Precinct 06-001,2406,24021,2404A,2402106-001,2402190500,24,06-001,,2107,2109,2058,12,6,7,0,9,1663,17,29,1634,8,4,4,0,5,790,861
Frederick Precinct 21-001,2406,24021,2403A,2402121-001,2402191876,24,21-001,,3123,3127,2917,42,8,80,1,35,2502,44,157,2355,33,6,56,1,27,1193,1263
Frederick Precinct 02-014,2406,24021,2403A,2402102-014,2402190132,24,02-014,2403800,2317,2318,1649,310,9,194,1,63,1673,92,195,1224,211,5,146,1,46,920,963
Frederick Precinct 02-006,2406,24021,2403A,2402102-006,2402190132,24,02-006,2403800,3966,3969,2923,524,20,220,3,124,2947,155,367,2267,357,16,164,2,82,1548,1631
Frederick Precinct 01-002,2406,24021,2403B,2402101-002,2402190040,24,01-002,,4264,4269,2936,651,14,310,6,140,2902,212,490,2064,422,10,223,5,97,1422,1495
Frederick Precinct 02-016,2406,24021,2403A,2402102-016,2402190132,24,02-016,2403800,3817,3823,2269,908,7,265,3,161,2918,210,454,1853,670,5,192,3,105,1417,1540
Frederick Precinct 23-003,2406,24021,2403A,2402123-003,2402192060,24,23-003,2430325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Frederick Precinct 02-012,2406,24021,2403A,2402102-012,2402190132,24,02-012,2430325,2217,2218,1286,300,12,187,0,345,1633,88,621,996,210,9,139,0,231,657,690
Frederick Precinct 23-002,2406,24021,2403A,2402123-002,2402192060,24,23-002,,104,104,102,2,0,0,0,0,92,0,0,90,2,0,0,0,0,73,80
Frederick Precinct 02-004,2406,24021,2403A,2402102-004,2402190132,24,02-004,,6817,6831,2722,1632,72,644,2,1410,4866,349,2131,2117,1081,47,465,2,990,2270,2482
Frederick Precinct 02-017,2406,24021,2403A,2402102-017,2402190132,24,02-017,2430325,3420,3429,1559,986,16,233,11,456,2544,168,795,1283,692,13,183,9,289,1312,1436
Frederick Precinct 02-008,2406,24021,2403A,2402102-008,2402190132,24,02-008,,7013,7027,4051,1251,50,582,6,796,5281,291,1468,3232,898,37,405,6,553,2573,2756
Frederick Precinct 02-013,2406,24021,2403A,2402102-013,2402190132,24,02-013,2430325,5323,5333,2879,1339,28,378,5,434,4063,270,972,2380,936,20,299,5,289,2171,2327
Frederick Precinct 02-001,2406,24021,2403A,2402102-001,2402190132,24,02-001,2430325,4613,4642,2847,1157,14,249,3,163,3726,209,472,2443,887,14,182,2,101,2043,2259
Frederick Precinct 02-002,2406,24021,2403A,2402102-002,2402190132,24,02-002,2430325,1738,1744,1361,267,5,18,0,51,1505,42,114,1196,227,5,13,0,38,710,791
Frederick Precinct 02-005,2406,24021,2403A,2402102-005,2402190132,24,02-005,2430325,1982,1985,1852,62,3,21,0,9,1707,38,49,1610,56,3,15,0,5,1009,1127
