County,Code
Somerset,24039
Worcester,24047
Dorchester,24019
Wicomico,24045
Cecil,24015
Kent,24029
Anne Arundel,24003
Montgomery,24031
Howard,24027
Frederick,24021
Washington,24043
Carroll,24013
Charles,24017
St. Mary's,24037
Allegany,24001
Garrett,24023
Harford,24025
Talbot,24041
Caroline,24011
Queen Anne's,24035
Calvert,24009
Prince George's,24033
Baltimore County,24005
Baltimore City,24510
