7
2
1,0,0,0,0,1,0,0,
Democratic, Working Families, Constitution, Independence, Green, Republican, American, Libertarian, 
# PrecinctID,RegisteredVoters,Democratic,Working Families,Constitution,Independence,Green,Republican,American,Libertarian,
45007075,1301,0.237354,0,0,0,0,0.723735,0,0,
45007076,1375,0.263359,0,0,0,0,0.70229,0,0,
45007077,2500,0.386064,0,0,0,0,0.564972,0,0,
45007078,941,0.656085,0,0,0,0,0.275132,0,0,
45007079,2542,0.754717,0,0,0,0,0.212938,0,0,
45007080,776,0.820276,0,0,0,0,0.133641,0,0,
45007081,827,0.932271,0,0,0,0,0.0438247,0,0,
45007082,960,0.776824,0,0,0,0,0.171674,0,0,
45007083,1389,0.859296,0,0,0,0,0.113065,0,0,
45007084,1808,0.350543,0,0,0,0,0.581522,0,0,
45007085,441,0.855072,0,0,0,0,0.0797101,0,0,
45007086,1291,0.461318,0,0,0,0,0.484241,0,0,
45007087,2445,0.483516,0,0,0,0,0.469388,0,0,
45007091,2738,0.305344,0,0,0,0,0.635115,0,0,
45007092,2034,0.230599,0,0,0,0,0.742794,0,0,
45007094,2266,0.136701,0,0,0,0,0.84101,0,0,
45007121,2845,0.225455,0,0,0,0,0.738182,0,0,
45007136,1892,0.213816,0,0,0,0,0.733553,0,0,
45007157,2284,0.224832,0,0,0,0,0.733221,0,0,
45007164,3852,0.141856,0,0,0,0,0.835377,0,0,
45009001,191,0.403846,0,0,0,0,0.557692,0,0,
45075128,943,0.27003,0,0,0,0,0.697329,0,0,
45009004,2261,0.886228,0,0,0,0,0.0973054,0,0,
45009005,174,0.78125,0,0,0,0,0.203125,0,0,
45009006,93,0.848485,0,0,0,0,0.151515,0,0,
45009007,204,0.526882,0,0,0,0,0.462366,0,0,
45009008,110,0.0526316,0,0,0,0,0.921053,0,0,
45009009,132,0.153846,0,0,0,0,0.846154,0,0,
45009010,342,0.542636,0,0,0,0,0.426357,0,0,
45009011,2406,0.810467,0,0,0,0,0.155587,0,0,
45009012,1278,0.911321,0,0,0,0,0.0735849,0,0,
45009013,1935,0.62256,0,0,0,0,0.35141,0,0,
45011007,566,0.527094,0,0,0,0,0.44335,0,0,
45011009,586,0.5,0,0,0,0,0.47561,0,0,
