,,Democratic,Working Families,Constitution,Independence,Green,Republican,American,Libertarian,,,,,,,,,,,,,,,,,,,
Precinct,Registered Voters,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total,,,,,,,,,,,,,,,,,,
Hollow Creek,1394,65,0,0,2,0,213,1,3,284,,,,,,,,,,,,,,,,,,
N. Augusta No. 54,1329,223,4,0,6,1,142,0,5,381,,,,,,,,,,,,,,,,,,
N. Augusta No. 55,1177,56,2,0,3,4,210,2,1,278,,,,,,,,,,,,,,,,,,
Couchton,1432,147,9,2,5,2,198,4,5,372,,,,,,,,,,,,,,,,,,
Redds Branch,1281,110,3,0,4,1,190,2,6,316,,,,,,,,,,,,,,,,,,
Fox Creek No. 58,1771,91,0,0,12,0,299,2,3,407,,,,,,,,,,,,,,,,,,
Pine Forest,1713,90,3,0,15,1,391,2,4,506,,,,,,,,,,,,,,,,,,
Gem Lakes No. 60,1303,52,1,0,2,3,192,1,4,255,,,,,,,,,,,,,,,,,,
Silver Bluff,1945,343,5,0,6,3,203,2,4,566,,,,,,,,,,,,,,,,,,
Belvedere No. 62,1398,226,3,3,3,2,143,2,3,385,,,,,,,,,,,,,,,,,,
Ascauga Lake No. 63,1051,100,4,0,5,0,177,2,2,290,,,,,,,,,,,,,,,,,,
Cedar Creek No. 64,1797,55,0,0,2,0,242,0,1,300,,,,,,,,,,,,,,,,,,
Sleepy Hollow No. 65,1971,74,3,1,5,2,355,0,1,441,,,,,,,,,,,,,,,,,,
Hitchcock No. 66,1293,59,0,0,5,1,181,0,0,246,,,,,,,,,,,,,,,,,,
N. Augusta No. 67,1302,56,2,3,0,1,261,0,8,331,,,,,,,,,,,,,,,,,,
N. Augusta No. 68,2060,118,3,0,6,4,453,2,6,592,,,,,,,,,,,,,,,,,,
Anderson Pond No. 69,1730,59,2,0,6,1,289,1,1,359,,,,,,,,,,,,,,,,,,
Sandstone No. 70,1547,102,3,0,5,1,198,0,3,312,,,,,,,,,,,,,,,,,,
Midland Valley No. 71,1950,147,6,1,3,1,345,3,3,509,,,,,,,,,,,,,,,,,,
Levels No. 72,1006,97,7,0,2,2,115,1,7,231,,,,,,,,,,,,,,,,,,
Fox Creek No. 73,1505,59,0,0,5,0,317,2,5,388,,,,,,,,,,,,,,,,,,
Belvedere No. 74,791,64,5,3,3,2,132,0,3,212,,,,,,,,,,,,,,,,,,
South Aiken No. 75,1777,123,4,0,5,3,268,1,4,408,,,,,,,,,,,,,,,,,,
South Aiken No. 76,2144,99,2,1,7,2,351,2,8,472,,,,,,,,,,,,,,,,,,
Gem Lakes No. 77,1562,50,1,4,4,1,241,2,5,308,,,,,,,,,,,,,,,,,,
Montmorenci No. 78,961,99,5,1,4,0,148,3,3,263,,,,,,,,,,,,,,,,,,
Sandstone No. 79,954,54,1,0,2,0,103,0,1,161,,,,,,,,,,,,,,,,,,
N. Augusta No. 80,933,53,2,1,2,1,168,1,7,235,,,,,,,,,,,,,,,,,,
Hammond No. 81,1111,126,5,0,5,0,176,3,3,318,,,,,,,,,,,,,,,,,,
Windsor No. 82,1075,113,10,2,8,1,187,5,5,331,,,,,,,,,,,,,,,,,,
Levels No. 83,781,63,2,0,3,0,70,0,6,144,,,,,,,,,,,,,,,,,,
Ascauga Lake No. 84,1211,76,2,0,3,0,215,1,1,298,,,,,,,,,,,,,,,,,,
ALLENDALE #1,1227,165,2,1,0,0,37,4,0,209,,,,,,,,,,,,,,,,,,
ALLENDALE #2,1384,223,4,0,1,0,0,2,0,230,,,,,,,,,,,,,,,,,,
FAIRFAX #1,611,100,2,0,3,2,38,4,1,150,,,,,,,,,,,,,,,,,,
FAIRFAX #2,1286,313,1,1,0,2,29,5,1,352,,,,,,,,,,,,,,,,,,
MARTIN,319,99,0,0,0,0,20,3,1,123,,,,,,,,,,,,,,,,,,
SYCAMORE,346,38,2,1,0,0,67,0,0,108,,,,,,,,,,,,,,,,,,
ULMER,218,32,1,0,2,0,33,1,0,69,,,,,,,,,,,,,,,,,,
WOODS,945,164,2,1,3,0,46,2,0,218,,,,,,,,,,,,,,,,,,
Appleton-Equinox,899,115,7,1,3,1,87,1,2,217,,,,,,,,,,,,,,,,,,
Barker's Creek-McAdams,336,12,1,0,0,1,82,0,0,96,,,,,,,,,,,,,,,,,,
Belton,1831,133,10,2,8,2,315,2,1,473,,,,,,,,,,,,,,,,,,
Broadview,642,151,3,0,1,1,55,2,1,214,,,,,,,,,,,,,,,,,,
Bishop's Branch,1860,117,6,0,10,2,406,3,5,549,,,,,,,,,,,,,,,,,,
Bowling Green,634,26,4,0,1,0,144,1,1,177,,,,,,,,,,,,,,,,,,
Broadway,1306,156,8,0,5,4,219,1,1,394,,,,,,,,,,,,,,,,,,
Brushy Creek,2161,95,7,1,5,3,521,1,3,636,,,,,,,,,,,,,,,,,,
Cedar Grove,1340,74,5,1,3,0,289,3,2,377,,,,,,,,,,,,,,,,,,
Centerville Station A,2710,162,9,0,6,4,482,7,7,677,,,,,,,,,,,,,,,,,,
Chiquola Mill,712,83,3,0,3,0,83,1,1,174,,,,,,,,,,,,,,,,,,
Concrete,2850,155,3,1,8,3,636,3,11,820,,,,,,,,,,,,,,,,,,
Craytonville,964,24,5,1,0,2,276,1,0,309,,,,,,,,,,,,,,,,,,
Denver-Sandy Springs,1587,62,4,0,5,3,219,2,1,296,,,,,,,,,,,,,,,,,,
Edgewood Station A,2134,186,5,1,7,1,266,2,3,471,,,,,,,,,,,,,,,,,,
Five Forks,1454,110,4,0,5,0,324,0,2,445,,,,,,,,,,,,,,,,,,
Flat Rock,1316,91,10,2,6,2,278,4,4,397,,,,,,,,,,,,,,,,,,
Fork No.1,1316,67,3,0,1,0,252,2,1,326,,,,,,,,,,,,,,,,,,
Fork No.2,1427,61,3,1,9,1,320,4,3,402,,,,,,,,,,,,,,,,,,
Friendship,1059,74,12,2,2,3,262,2,1,358,,,,,,,,,,,,,,,,,,
Gluck Mill,433,66,5,0,0,1,51,3,0,126,,,,,,,,,,,,,,,,,,
Green Pond Station A,2461,141,7,0,6,4,461,8,3,630,,,,,,,,,,,,,,,,,,
Grove School,551,16,0,0,3,0,103,0,0,122,,,,,,,,,,,,,,,,,,
Hall,1405,101,6,0,7,2,249,2,1,368,,,,,,,,,,,,,,,,,,
Hammond School,2240,107,5,2,8,1,345,3,4,475,,,,,,,,,,,,,,,,,,
High Point,559,21,1,0,3,0,133,0,1,159,,,,,,,,,,,,,,,,,,
Homeland Park,2594,323,18,1,19,3,302,8,5,679,,,,,,,,,,,,,,,,,,
Honea Path,1382,85,2,0,4,1,297,6,2,397,,,,,,,,,,,,,,,,,,
Hopewell,1530,66,4,1,4,1,259,3,3,341,,,,,,,,,,,,,,,,,,
Iva,1560,89,10,3,7,1,286,8,0,404,,,,,,,,,,,,,,,,,,
Jackson Mill,751,22,3,0,4,1,155,3,2,190,,,,,,,,,,,,,,,,,,
La France,930,73,2,0,3,1,138,4,0,221,,,,,,,,,,,,,,,,,,
Melton,625,49,5,0,1,2,126,0,3,186,,,,,,,,,,,,,,,,,,
Mount Tabor,2306,163,7,0,8,0,458,4,4,644,,,,,,,,,,,,,,,,,,
Mountain Creek,1256,98,6,1,7,0,226,4,2,344,,,,,,,,,,,,,,,,,,
Neal's Creek,1906,201,6,2,5,3,288,5,3,513,,,,,,,,,,,,,,,,,,
North Pointe,1682,49,0,0,3,2,277,0,3,334,,,,,,,,,,,,,,,,,,
Pelzer,773,22,6,1,6,0,188,4,5,232,,,,,,,,,,,,,,,,,,
Pendleton,3022,327,8,2,9,6,323,6,11,692,,,,,,,,,,,,,,,,,,
Piedmont,880,50,5,1,2,3,170,3,0,234,,,,,,,,,,,,,,,,,,
Piercetown,1911,80,8,0,6,3,444,1,7,549,,,,,,,,,,,,,,,,,,
Rock Mill,1140,45,3,0,5,0,233,0,0,286,,,,,,,,,,,,,,,,,,
Rock Spring,792,65,5,0,1,1,128,2,2,204,,,,,,,,,,,,,,,,,,
Shirley's Store,768,54,4,0,1,0,182,2,2,245,,,,,,,,,,,,,,,,,,
Simpsonville,2492,104,2,3,4,4,586,4,8,715,,,,,,,,,,,,,,,,,,
Starr,831,31,4,3,4,0,172,2,1,217,,,,,,,,,,,,,,,,,,
Three and Twenty,2333,90,3,1,3,3,608,4,6,718,,,,,,,,,,,,,,,,,,
Toney Creek,533,22,1,0,2,0,126,2,1,154,,,,,,,,,,,,,,,,,,
Townville,732,28,1,1,0,0,170,2,2,204,,,,,,,,,,,,,,,,,,
Town Creek,1616,51,2,0,2,1,235,1,0,292,,,,,,,,,,,,,,,,,,
West Pelzer,1763,64,4,0,4,1,404,2,3,482,,,,,,,,,,,,,,,,,,
West Savannah,301,32,0,0,1,0,58,1,2,94,,,,,,,,,,,,,,,,,,
White Plains,2860,134,13,0,11,5,681,5,7,856,,,,,,,,,,,,,,,,,,
Williamston,2241,134,6,1,8,3,401,3,8,564,,,,,,,,,,,,,,,,,,
Williamston Mill,2735,118,13,0,4,3,575,7,9,729,,,,,,,,,,,,,,,,,,
Wright's School,734,25,6,0,1,2,187,1,0,222,,,,,,,,,,,,,,,,,,
Anderson 1/1,1659,122,7,4,7,2,199,2,2,345,,,,,,,,,,,,,,,,,,
Anderson 1/2,1301,61,2,1,1,0,186,2,4,257,,,,,,,,,,,,,,,,,,
Anderson 2/1,1375,69,2,0,1,3,184,1,2,262,,,,,,,,,,,,,,,,,,
Anderson 2/2,2500,205,9,0,6,5,300,3,3,531,,,,,,,,,,,,,,,,,,
Anderson 3/1,941,124,6,0,4,0,52,3,0,189,,,,,,,,,,,,,,,,,,
Anderson 3/2,2542,560,10,0,7,3,158,4,0,742,,,,,,,,,,,,,,,,,,
Anderson 4/1,776,178,4,1,1,0,29,3,1,217,,,,,,,,,,,,,,,,,,
Anderson 4/2,827,234,4,0,0,0,11,2,0,251,,,,,,,,,,,,,,,,,,
Anderson 5/A,960,181,3,1,2,2,40,3,1,233,,,,,,,,,,,,,,,,,,
Anderson 5/B,1389,342,5,0,3,1,45,2,0,398,,,,,,,,,,,,,,,,,,
Anderson 6/1,1808,129,7,1,7,4,214,2,4,368,,,,,,,,,,,,,,,,,,
Anderson 6/2,441,118,4,1,2,1,11,0,1,138,,,,,,,,,,,,,,,,,,
Varennes,1291,161,8,1,5,0,169,3,2,349,,,,,,,,,,,,,,,,,,
Lakeside,2445,308,11,2,6,3,299,4,4,637,,,,,,,,,,,,,,,,,,
Centerville Station B,2738,200,9,1,13,2,416,5,9,655,,,,,,,,,,,,,,,,,,
