,,Democratic,Working Families,Constitution,Independence,Green,Republican,American,Libertarian,,,,,,,,,,,,,,,,,,,
Precinct,Registered Voters,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total,,,,,,,,,,,,,,,,,,
Bluffton 2B,1683,97,4,0,4,4,123,0,8,240,,,,,,,,,,,,,,,,,,
Bluffton 2C,2590,125,7,1,14,2,346,2,10,507,,,,,,,,,,,,,,,,,,
MOSS CREEK,1692,117,1,0,5,4,319,1,3,450,,,,,,,,,,,,,,,,,,
Bluffton 3,1083,32,1,0,2,1,151,0,3,190,,,,,,,,,,,,,,,,,,
Bluffton 4A,1175,29,0,0,4,0,131,0,0,164,,,,,,,,,,,,,,,,,,
Bluffton 4B,1773,71,2,0,6,3,220,1,0,303,,,,,,,,,,,,,,,,,,
Bluffton 4C,2344,161,5,0,9,8,229,3,3,418,,,,,,,,,,,,,,,,,,
Bluffton 5A,1374,53,0,0,3,0,194,0,1,251,,,,,,,,,,,,,,,,,,
Bluffton 2D,2400,145,10,0,15,3,413,3,7,596,,,,,,,,,,,,,,,,,,
Bluffton 2E,1518,162,5,2,7,1,135,1,3,316,,,,,,,,,,,,,,,,,,
ROSE HILL,1759,93,3,0,8,0,396,1,0,501,,,,,,,,,,,,,,,,,,
Bluffton 4D,1582,63,0,0,7,0,229,0,1,300,,,,,,,,,,,,,,,,,,
Bluffton 5B,1409,77,2,0,8,3,133,0,3,226,,,,,,,,,,,,,,,,,,
SUN CITY 1,1589,78,0,1,9,0,248,1,2,339,,,,,,,,,,,,,,,,,,
SUN CITY 2,1276,59,2,0,1,1,165,0,1,229,,,,,,,,,,,,,,,,,,
SUN CITY 3,1797,99,0,1,9,2,236,1,0,348,,,,,,,,,,,,,,,,,,
SUN CITY 4,1474,70,2,0,3,1,173,1,1,251,,,,,,,,,,,,,,,,,,
SUN CITY 5,1497,64,0,0,5,2,196,0,0,267,,,,,,,,,,,,,,,,,,
SUN CITY 6,1502,58,0,0,6,0,176,0,0,240,,,,,,,,,,,,,,,,,,
SUN CITY 7,1253,74,0,1,10,1,172,1,0,259,,,,,,,,,,,,,,,,,,
SUN CITY 8,1780,92,4,0,7,0,210,1,1,315,,,,,,,,,,,,,,,,,,
Alvin,916,271,6,1,4,0,110,3,1,396,,,,,,,,,,,,,,,,,,
Bethera,210,6,1,0,2,1,79,0,2,91,,,,,,,,,,,,,,,,,,
Bonneau,1211,155,4,0,1,3,237,1,0,401,,,,,,,,,,,,,,,,,,
Bonneau Beach,1538,109,3,0,3,2,378,3,1,499,,,,,,,,,,,,,,,,,,
Central,2516,273,10,2,13,5,373,4,7,687,,,,,,,,,,,,,,,,,,
Cainhoy,1057,376,0,0,3,0,54,0,2,435,,,,,,,,,,,,,,,,,,
Carnes Cross Road 1,2583,85,14,2,13,2,641,6,7,770,,,,,,,,,,,,,,,,,,
Carnes Cross Road 2,1266,116,1,0,1,2,174,1,0,295,,,,,,,,,,,,,,,,,,
Cordesville,1219,130,4,2,3,2,195,2,5,343,,,,,,,,,,,,,,,,,,
Cross,1189,172,4,0,3,1,156,0,1,337,,,,,,,,,,,,,,,,,,
Daniel Island 1,1330,64,3,0,8,0,318,1,2,396,,,,,,,,,,,,,,,,,,
Daniel Island 2,1518,127,1,0,8,0,243,0,8,387,,,,,,,,,,,,,,,,,,
Devon Forest 1,2282,200,5,0,11,5,318,4,15,558,,,,,,,,,,,,,,,,,,
Devon Forest 2,1733,151,11,1,4,1,265,6,5,444,,,,,,,,,,,,,,,,,,
Eadytown,744,188,1,0,2,2,58,1,0,252,,,,,,,,,,,,,,,,,,
Hanahan 1,2334,110,6,3,7,1,441,4,8,580,,,,,,,,,,,,,,,,,,
Hanahan 2,1490,122,0,1,7,1,162,1,4,298,,,,,,,,,,,,,,,,,,
Hanahan 3,1497,89,5,2,4,4,236,2,4,346,,,,,,,,,,,,,,,,,,
Hanahan 4,1610,168,3,2,7,2,180,1,12,375,,,,,,,,,,,,,,,,,,
Hilton Cross Rd,1572,294,7,0,3,2,195,6,4,511,,,,,,,,,,,,,,,,,,
Huger,1214,317,6,0,3,1,112,0,1,440,,,,,,,,,,,,,,,,,,
Jamestown,538,128,2,0,1,2,72,2,1,208,,,,,,,,,,,,,,,,,,
Lebanon,688,39,6,0,4,1,177,1,2,230,,,,,,,,,,,,,,,,,,
Macedonia,1757,42,13,1,9,2,521,6,4,598,,,,,,,,,,,,,,,,,,
McBeth,966,117,4,0,3,2,186,2,2,316,,,,,,,,,,,,,,,,,,
Moncks Corner 1,1877,190,4,1,5,2,231,4,2,439,,,,,,,,,,,,,,,,,,
Moncks Corner 2,1692,220,12,1,6,3,186,2,4,434,,,,,,,,,,,,,,,,,,
Moncks Corner 3,2220,284,9,1,3,2,231,1,5,536,,,,,,,,,,,,,,,,,,
Moncks Corner 4,1584,124,12,0,9,1,366,3,1,516,,,,,,,,,,,,,,,,,,
Pimlico,2791,234,10,3,14,4,548,4,18,835,,,,,,,,,,,,,,,,,,
Pinopolis,1815,80,2,0,6,2,375,3,2,470,,,,,,,,,,,,,,,,,,
Russellville,1440,353,8,1,4,1,46,2,1,416,,,,,,,,,,,,,,,,,,
Sangaree 1,1255,109,5,1,8,3,174,8,2,310,,,,,,,,,,,,,,,,,,
Sangaree 2,1699,150,5,1,3,4,248,3,5,419,,,,,,,,,,,,,,,,,,
Sangaree 3,1420,138,12,2,6,6,221,2,3,390,,,,,,,,,,,,,,,,,,
Shulerville,342,81,1,0,1,2,68,1,1,155,,,,,,,,,,,,,,,,,,
St. Stephen 1,1529,438,3,0,2,1,54,2,2,502,,,,,,,,,,,,,,,,,,
St. Stephen 2,1505,244,6,0,1,2,171,3,3,430,,,,,,,,,,,,,,,,,,
Stratford 1,1864,191,5,0,9,5,234,4,7,455,,,,,,,,,,,,,,,,,,
Stratford 2,1802,114,1,0,10,0,333,0,2,460,,,,,,,,,,,,,,,,,,
Stratford 3,2167,212,9,0,5,5,283,2,12,528,,,,,,,,,,,,,,,,,,
Stratford 4,1777,171,11,1,12,7,257,4,8,471,,,,,,,,,,,,,,,,,,
Wassamassaw 1,1001,139,4,0,1,1,95,1,2,243,,,,,,,,,,,,,,,,,,
Wassamassaw 2,2310,251,11,0,3,3,439,3,6,716,,,,,,,,,,,,,,,,,,
Westview 1,1460,78,3,1,6,2,254,0,4,348,,,,,,,,,,,,,,,,,,
Westview 2,1886,150,5,1,3,2,340,4,10,515,,,,,,,,,,,,,,,,,,
Westview 3,1715,123,2,4,8,2,314,5,3,461,,,,,,,,,,,,,,,,,,
Beverly Hills,1329,213,9,0,13,3,173,2,5,418,,,,,,,,,,,,,,,,,,
Howe Hall 1,2197,345,10,2,10,8,214,4,6,599,,,,,,,,,,,,,,,,,,
Howe Hall 2,1194,157,8,3,13,5,146,5,2,339,,,,,,,,,,,,,,,,,,
Liberty Hall,2184,279,15,4,11,6,269,4,9,597,,,,,,,,,,,,,,,,,,
Medway,3468,452,20,4,22,7,407,10,20,942,,,,,,,,,,,,,,,,,,
Whitesville 1,2359,275,11,1,10,3,362,7,9,678,,,,,,,,,,,,,,,,,,
Whitesville 2,1430,97,6,0,6,1,305,2,4,421,,,,,,,,,,,,,,,,,,
Daniel Island 3,1668,102,2,0,4,5,255,0,2,370,,,,,,,,,,,,,,,,,,
Daniel Island 4,2216,135,1,0,18,0,395,1,6,556,,,,,,,,,,,,,,,,,,
The Village,2125,121,3,0,7,2,455,1,10,599,,,,,,,,,,,,,,,,,,
Yellow House,1725,194,4,1,7,2,222,0,1,431,,,,,,,,,,,,,,,,,,
Cane Bay,3995,267,14,3,21,1,679,10,12,1007,,,,,,,,,,,,,,,,,,
Discovery,1650,199,8,0,8,4,248,3,9,479,,,,,,,,,,,,,,,,,,
Fox Bank,1624,179,13,0,7,0,290,1,9,499,,,,,,,,,,,,,,,,,,
Hanahan 5,1363,54,4,0,3,2,246,2,4,315,,,,,,,,,,,,,,,,,,
Moultrie,1449,397,5,1,2,1,71,0,5,482,,,,,,,,,,,,,,,,,,
Old 52,1207,87,6,1,3,0,115,2,2,216,,,,,,,,,,,,,,,,,,
Royle,1381,138,11,2,2,1,219,3,3,379,,,,,,,,,,,,,,,,,,
Seventy Eight,1672,135,6,0,11,3,188,0,3,346,,,,,,,,,,,,,,,,,,
Stone Lake,1389,100,2,0,4,1,271,0,6,384,,,,,,,,,,,,,,,,,,
Stratford 5,1458,178,11,3,12,2,175,4,5,390,,,,,,,,,,,,,,,,,,
Westview 4,1538,118,3,1,6,4,274,1,6,413,,,,,,,,,,,,,,,,,,
Foster Creek 1,1203,32,3,0,1,0,60,0,1,97,,,,,,,,,,,,,,,,,,
Foster Creek 2,1719,154,4,0,7,2,241,2,2,412,,,,,,,,,,,,,,,,,,
Foster Creek 3,1506,138,8,0,8,1,201,1,4,361,,,,,,,,,,,,,,,,,,
Harbour Lake,2068,350,11,0,7,5,143,3,7,526,,,,,,,,,,,,,,,,,,
St. James,1575,174,9,0,10,0,240,4,6,443,,,,,,,,,,,,,,,,,,
Sedgefield 1,1584,198,12,0,8,1,217,4,6,446,,,,,,,,,,,,,,,,,,
Sedgefield 2,1426,117,5,0,5,4,142,1,3,277,,,,,,,,,,,,,,,,,,
Tramway,1703,172,10,0,9,2,290,3,6,492,,,,,,,,,,,,,,,,,,
Weatherstone,1747,168,4,1,8,4,220,2,6,413,,,,,,,,,,,,,,,,,,
BETHEL,978,94,3,0,5,2,149,0,1,254,,,,,,,,,,,,,,,,,,
CAMERON,725,146,3,0,1,0,54,2,1,207,,,,,,,,,,,,,,,,,,
CENTER HILL,1178,232,3,1,5,0,118,4,3,366,,,,,,,,,,,,,,,,,,
CRESTON,219,38,0,1,0,0,31,0,0,70,,,,,,,,,,,,,,,,,,
DIXIE,2249,512,5,2,2,1,79,1,1,603,,,,,,,,,,,,,,,,,,
FALL BRANCH,516,87,3,0,0,0,66,1,0,157,,,,,,,,,,,,,,,,,,
FORT MOTTE,273,55,1,0,1,0,21,0,1,79,,,,,,,,,,,,,,,,,,
LONE STAR,1101,176,1,0,3,1,135,2,0,318,,,,,,,,,,,,,,,,,,
MIDWAY,315,36,0,0,0,0,63,0,1,100,,,,,,,,,,,,,,,,,,
MURPH MILL,466,80,0,0,0,0,44,0,1,125,,,,,,,,,,,,,,,,,,
SANDY RUN,1621,137,9,0,3,0,326,3,2,480,,,,,,,,,,,,,,,,,,
ST. MATTHEWS,1510,213,1,0,1,0,122,2,0,339,,,,,,,,,,,,,,,,,,
AWENDAW,1341,243,1,0,3,1,135,2,1,386,,,,,,,,,,,,,,,,,,
CHRIST CHURCH,955,170,3,0,2,0,97,3,0,275,,,,,,,,,,,,,,,,,,
ISLE OF PALMS 1A,1121,53,0,1,4,1,157,2,6,224,,,,,,,,,,,,,,,,,,
ISLE OF PALMS 1B,1489,74,3,0,5,0,212,2,4,300,,,,,,,,,,,,,,,,,,
ISLE OF PALMS 1C,1632,60,1,0,1,2,220,1,4,289,,,,,,,,,,,,,,,,,,
SULLIVANS ISLAND,1705,108,1,0,3,3,179,0,8,302,,,,,,,,,,,,,,,,,,
MCCLELLANVILLE,1720,415,4,1,1,2,123,1,3,550,,,,,,,,,,,,,,,,,,
DEER PARK 1A,1418,193,9,1,11,4,93,3,3,317,,,,,,,,,,,,,,,,,,
DEER PARK 1B,3164,268,15,2,19,3,225,5,15,552,,,,,,,,,,,,,,,,,,
DEER PARK 2A,3074,318,6,0,11,3,298,2,7,645,,,,,,,,,,,,,,,,,,
DEER PARK 2B,2004,209,6,2,7,3,174,1,8,410,,,,,,,,,,,,,,,,,,
DEER PARK 2C,1091,109,2,0,4,2,121,2,4,244,,,,,,,,,,,,,,,,,,
DEER PARK 3,1946,287,7,0,12,2,154,4,6,472,,,,,,,,,,,,,,,,,,
LINCOLNVILLE,1551,253,8,1,11,2,179,1,5,460,,,,,,,,,,,,,,,,,,
LADSON,2938,408,10,3,20,8,240,4,4,697,,,,,,,,,,,,,,,,,,
EDISTO ISLAND,1524,247,3,1,4,1,177,5,2,440,,,,,,,,,,,,,,,,,,
WADMALAW ISLAND 1,1134,179,2,1,3,1,110,2,1,299,,,,,,,,,,,,,,,,,,
WADMALAW ISLAND 2,1201,266,5,1,3,2,86,2,0,365,,,,,,,,,,,,,,,,,,
KIAWAH ISLAND,1759,60,0,0,2,0,245,0,1,308,,,,,,,,,,,,,,,,,,
TOWN OF SEABROOK,1992,139,0,0,2,0,284,1,4,430,,,,,,,,,,,,,,,,,,
FOLLY BEACH 1,1153,76,2,0,10,5,126,2,2,223,,,,,,,,,,,,,,,,,,
FOLLY BEACH 2,1325,100,0,1,6,6,168,1,6,288,,,,,,,,,,,,,,,,,,
CHARLESTON 1,891,36,0,0,3,0,102,0,2,143,,,,,,,,,,,,,,,,,,
CHARLESTON 2,1025,49,0,0,0,0,110,0,1,160,,,,,,,,,,,,,,,,,,
CHARLESTON 3,1159,69,0,0,2,0,69,0,4,144,,,,,,,,,,,,,,,,,,
CHARLESTON 4,1120,104,2,0,4,1,67,1,2,181,,,,,,,,,,,,,,,,,,
CHARLESTON 5,1082,68,0,0,2,1,70,0,3,144,,,,,,,,,,,,,,,,,,
CHARLESTON 6,1538,117,1,0,9,3,72,1,3,206,,,,,,,,,,,,,,,,,,
CHARLESTON 7,1816,133,0,1,9,4,96,2,7,252,,,,,,,,,,,,,,,,,,
CHARLESTON 8,1309,245,4,0,5,7,17,2,6,286,,,,,,,,,,,,,,,,,,
CHARLESTON 9,1154,134,2,0,8,0,43,2,3,192,,,,,,,,,,,,,,,,,,
CHARLESTON 10,1240,98,3,0,7,4,29,1,4,146,,,,,,,,,,,,,,,,,,
CHARLESTON 11,1925,145,1,0,12,3,86,2,8,257,,,,,,,,,,,,,,,,,,
CHARLESTON 12,1586,235,4,0,2,3,47,5,5,301,,,,,,,,,,,,,,,,,,
CHARLESTON 13,1370,214,4,1,5,3,29,0,6,262,,,,,,,,,,,,,,,,,,
CHARLESTON 14,1401,159,1,0,5,3,44,0,11,223,,,,,,,,,,,,,,,,,,
CHARLESTON 15,1561,363,11,1,6,1,16,5,6,409,,,,,,,,,,,,,,,,,,
CHARLESTON 16,1342,246,2,0,9,4,20,2,7,290,,,,,,,,,,,,,,,,,,
CHARLESTON 17,1395,158,0,0,1,3,31,0,5,198,,,,,,,,,,,,,,,,,,
CHARLESTON 18,1610,352,3,0,5,2,25,0,1,388,,,,,,,,,,,,,,,,,,
CHARLESTON 19,914,201,2,1,4,2,17,1,4,232,,,,,,,,,,,,,,,,,,
CHARLESTON 20,1424,175,2,0,8,2,60,2,3,252,,,,,,,,,,,,,,,,,,
CHARLESTON 21,780,207,3,1,0,2,13,1,1,228,,,,,,,,,,,,,,,,,,
MT. PLEASANT 1,1615,93,1,0,3,1,136,0,2,236,,,,,,,,,,,,,,,,,,
MT. PLEASANT 2,1212,63,2,0,9,1,111,1,5,192,,,,,,,,,,,,,,,,,,
MT. PLEASANT 3,1740,133,1,1,5,2,161,0,7,310,,,,,,,,,,,,,,,,,,
MT. PLEASANT 4,1632,95,0,0,8,0,186,2,6,297,,,,,,,,,,,,,,,,,,
MT. PLEASANT 5,1409,73,1,0,2,0,154,1,1,232,,,,,,,,,,,,,,,,,,
MT. PLEASANT 6,2251,133,0,1,9,9,248,0,9,409,,,,,,,,,,,,,,,,,,
MT. PLEASANT 7,972,64,1,0,4,1,105,0,3,178,,,,,,,,,,,,,,,,,,
MT. PLEASANT 8,1003,48,0,0,2,1,86,0,0,137,,,,,,,,,,,,,,,,,,
MT. PLEASANT 9,1127,54,0,0,6,1,122,0,5,188,,,,,,,,,,,,,,,,,,
MT. PLEASANT 10,1001,30,0,0,5,2,123,0,4,164,,,,,,,,,,,,,,,,,,
MT. PLEASANT 11,1251,64,4,0,3,2,130,0,2,205,,,,,,,,,,,,,,,,,,
MT. PLEASANT 12,2084,133,4,2,11,4,243,2,7,406,,,,,,,,,,,,,,,,,,
MT. PLEASANT 13,1318,74,0,0,4,0,130,3,9,220,,,,,,,,,,,,,,,,,,
MT. PLEASANT 14,1802,110,2,0,7,0,157,0,4,280,,,,,,,,,,,,,,,,,,
MT. PLEASANT 15,2417,159,0,0,8,0,220,3,4,394,,,,,,,,,,,,,,,,,,
MT. PLEASANT 16,782,22,0,0,2,0,89,0,0,113,,,,,,,,,,,,,,,,,,
MT. PLEASANT 17,3197,105,1,0,2,2,288,1,9,408,,,,,,,,,,,,,,,,,,
MT. PLEASANT 18,1295,50,0,0,1,3,155,0,3,212,,,,,,,,,,,,,,,,,,
MT. PLEASANT 19,2169,139,2,0,8,5,206,2,9,371,,,,,,,,,,,,,,,,,,
MT. PLEASANT 20,1608,146,1,0,9,1,163,2,7,329,,,,,,,,,,,,,,,,,,
MT. PLEASANT 21,1786,74,0,0,5,3,152,0,6,240,,,,,,,,,,,,,,,,,,
MT. PLEASANT 22,1137,105,2,0,5,0,116,0,2,230,,,,,,,,,,,,,,,,,,
MT. PLEASANT 23,1915,173,7,2,5,5,159,4,8,363,,,,,,,,,,,,,,,,,,
MT. PLEASANT 24,919,35,0,1,3,0,82,0,5,126,,,,,,,,,,,,,,,,,,
MT. PLEASANT 25,1141,32,1,0,2,0,107,0,0,142,,,,,,,,,,,,,,,,,,
MT. PLEASANT 26,619,169,3,0,0,0,3,0,1,176,,,,,,,,,,,,,,,,,,
MT. PLEASANT 27,2755,133,5,0,4,5,315,1,5,468,,,,,,,,,,,,,,,,,,
MT. PLEASANT 28,1291,47,1,0,8,2,145,0,3,206,,,,,,,,,,,,,,,,,,
MT. PLEASANT 29,350,18,0,0,0,0,34,0,0,52,,,,,,,,,,,,,,,,,,
MT. PLEASANT 30,2142,132,0,0,7,1,300,3,6,449,,,,,,,,,,,,,,,,,,
MT. PLEASANT 31,1521,99,1,0,4,3,147,1,1,256,,,,,,,,,,,,,,,,,,
MT. PLEASANT 32,2848,118,2,1,8,1,340,0,3,473,,,,,,,,,,,,,,,,,,
MT. PLEASANT 33,4060,146,1,1,23,0,510,2,9,692,,,,,,,,,,,,,,,,,,
MT. PLEASANT 34,1785,90,1,0,6,0,172,0,4,273,,,,,,,,,,,,,,,,,,
MT. PLEASANT 35,4845,213,6,0,27,4,547,4,8,809,,,,,,,,,,,,,,,,,,
MT. PLEASANT 36,1881,167,8,0,5,3,209,1,14,407,,,,,,,,,,,,,,,,,,
MT. PLEASANT 37,3698,367,5,2,14,4,308,3,8,711,,,,,,,,,,,,,,,,,,
MT. PLEASANT 38,1793,53,0,0,6,2,190,0,6,257,,,,,,,,,,,,,,,,,,
MT. PLEASANT 39,2251,126,1,0,10,0,337,0,9,483,,,,,,,,,,,,,,,,,,
JAMES ISLAND 1A,2110,173,4,0,10,4,196,3,11,401,,,,,,,,,,,,,,,,,,
JAMES ISLAND 1B,1033,187,0,2,1,0,28,0,1,219,,,,,,,,,,,,,,,,,,
JAMES ISLAND 3,997,220,1,0,1,1,23,2,2,250,,,,,,,,,,,,,,,,,,
JAMES ISLAND 5A,1507,61,2,0,3,2,166,0,5,239,,,,,,,,,,,,,,,,,,
JAMES ISLAND 5B,795,34,1,0,0,0,108,1,3,147,,,,,,,,,,,,,,,,,,
JAMES ISLAND 6,1728,177,4,0,2,2,161,0,3,349,,,,,,,,,,,,,,,,,,
JAMES ISLAND 7,2075,137,3,0,7,0,190,0,4,341,,,,,,,,,,,,,,,,,,
JAMES ISLAND 8A,1645,146,3,0,2,1,96,1,5,254,,,,,,,,,,,,,,,,,,
JAMES ISLAND 8B,2477,168,2,1,16,5,194,0,7,393,,,,,,,,,,,,,,,,,,
JAMES ISLAND 9,1642,136,4,0,4,5,173,3,5,330,,,,,,,,,,,,,,,,,,
JAMES ISLAND 10,1754,133,3,0,4,6,167,2,11,326,,,,,,,,,,,,,,,,,,
JAMES ISLAND 11,2009,104,1,0,3,4,188,1,6,307,,,,,,,,,,,,,,,,,,
JAMES ISLAND 12,1371,46,2,0,5,1,155,2,4,215,,,,,,,,,,,,,,,,,,
JAMES ISLAND 13,1598,83,1,0,5,3,138,2,2,234,,,,,,,,,,,,,,,,,,
JAMES ISLAND 14,965,57,1,1,8,2,126,1,2,198,,,,,,,,,,,,,,,,,,
JAMES ISLAND 15,1898,144,1,1,12,4,172,0,8,342,,,,,,,,,,,,,,,,,,
JAMES ISLAND 17,2227,169,3,0,13,4,135,0,13,337,,,,,,,,,,,,,,,,,,
JAMES ISLAND 19,1665,139,4,1,9,4,147,2,9,315,,,,,,,,,,,,,,,,,,
JAMES ISLAND 20,1634,146,3,1,6,4,134,1,4,299,,,,,,,,,,,,,,,,,,
JAMES ISLAND 22,1638,103,1,1,12,4,149,1,7,278,,,,,,,,,,,,,,,,,,
JOHNS ISLAND 1A,2005,135,2,1,4,2,238,2,2,386,,,,,,,,,,,,,,,,,,
JOHNS ISLAND 1B,1978,246,6,1,6,4,135,3,5,406,,,,,,,,,,,,,,,,,,
JOHNS ISLAND 2,4174,287,4,0,11,4,433,1,16,756,,,,,,,,,,,,,,,,,,
JOHNS ISLAND 3A,2556,204,2,2,9,3,310,4,13,547,,,,,,,,,,,,,,,,,,
JOHNS ISLAND 3B,1642,233,6,0,4,1,168,1,2,415,,,,,,,,,,,,,,,,,,
JOHNS ISLAND 4,1233,165,3,1,3,0,94,1,1,268,,,,,,,,,,,,,,,,,,
ST. PAULS 1,880,328,1,0,4,0,68,2,0,403,,,,,,,,,,,,,,,,,,
ST. PAULS 2A,957,207,7,0,2,0,94,7,0,317,,,,,,,,,,,,,,,,,,
ST. PAULS 2B,1487,284,3,0,1,1,131,3,2,425,,,,,,,,,,,,,,,,,,
ST. PAULS 3,1936,126,3,1,6,2,309,0,5,452,,,,,,,,,,,,,,,,,,
ST. PAULS 4,1691,424,9,1,1,2,97,4,2,540,,,,,,,,,,,,,,,,,,
ST. PAULS 5,1118,163,3,1,0,2,121,1,1,292,,,,,,,,,,,,,,,,,,
ST. PAULS 6,1930,159,4,0,5,1,241,2,6,418,,,,,,,,,,,,,,,,,,
ST. ANDREWS 1,788,71,2,0,2,2,32,0,2,111,,,,,,,,,,,,,,,,,,
ST. ANDREWS 2,1427,95,0,0,3,1,60,0,3,162,,,,,,,,,,,,,,,,,,
ST. ANDREWS 3,1536,277,2,0,2,2,53,1,3,340,,,,,,,,,,,,,,,,,,
ST. ANDREWS 4,1434,55,1,0,5,1,119,2,5,188,,,,,,,,,,,,,,,,,,
ST. ANDREWS 5,1354,69,0,0,0,3,73,1,4,150,,,,,,,,,,,,,,,,,,
ST. ANDREWS 6,1308,54,2,1,2,0,160,2,6,227,,,,,,,,,,,,,,,,,,
ST. ANDREWS 7,1828,98,6,1,6,1,172,2,6,292,,,,,,,,,,,,,,,,,,
ST. ANDREWS 8,1002,158,2,1,4,1,20,3,0,189,,,,,,,,,,,,,,,,,,
ST. ANDREWS 9,1375,276,6,0,2,0,17,2,3,306,,,,,,,,,,,,,,,,,,
ST. ANDREWS 10,1209,133,2,0,4,3,90,2,2,236,,,,,,,,,,,,,,,,,,
ST. ANDREWS 11,968,45,1,0,2,2,92,0,4,146,,,,,,,,,,,,,,,,,,
ST. ANDREWS 12,1115,56,1,0,5,1,78,1,2,144,,,,,,,,,,,,,,,,,,
ST. ANDREWS 13,1298,79,2,1,4,1,97,0,1,185,,,,,,,,,,,,,,,,,,
ST. ANDREWS 14,1498,154,4,1,10,3,131,1,4,308,,,,,,,,,,,,,,,,,,
ST. ANDREWS 15,1528,187,7,1,5,2,35,0,5,242,,,,,,,,,,,,,,,,,,
ST. ANDREWS 16,1142,60,1,0,9,4,95,2,1,172,,,,,,,,,,,,,,,,,,
ST. ANDREWS 17,1768,110,2,1,9,3,185,1,4,315,,,,,,,,,,,,,,,,,,
ST. ANDREWS 18,2031,291,9,0,8,5,101,6,4,424,,,,,,,,,,,,,,,,,,
ST. ANDREWS 19,358,68,0,0,0,1,6,0,0,75,,,,,,,,,,,,,,,,,,
ST. ANDREWS 20,3019,291,4,2,11,5,157,3,7,480,,,,,,,,,,,,,,,,,,
ST. ANDREWS 21,956,70,3,0,3,0,64,1,2,143,,,,,,,,,,,,,,,,,,
ST. ANDREWS 22,1255,63,2,0,3,2,108,0,2,180,,,,,,,,,,,,,,,,,,
ST. ANDREWS 23,1302,95,3,0,2,3,85,1,6,195,,,,,,,,,,,,,,,,,,
ST. ANDREWS 24,1474,147,3,0,5,0,66,0,9,230,,,,,,,,,,,,,,,,,,
ST. ANDREWS 25,1762,136,1,0,5,2,73,1,6,224,,,,,,,,,,,,,,,,,,
ST. ANDREWS 26,1492,134,4,0,2,1,110,0,7,258,,,,,,,,,,,,,,,,,,
ST. ANDREWS 27,3806,306,9,0,14,5,301,2,10,647,,,,,,,,,,,,,,,,,,
ST. ANDREWS 28,2704,241,4,2,11,3,213,1,11,486,,,,,,,,,,,,,,,,,,
ST. ANDREWS 29,3223,195,5,1,13,5,303,4,9,535,,,,,,,,,,,,,,,,,,
ST. ANDREWS 30,2328,139,1,3,15,5,163,2,7,335,,,,,,,,,,,,,,,,,,
ST. ANDREWS 31,1237,98,1,1,2,3,124,0,7,236,,,,,,,,,,,,,,,,,,
ST. ANDREWS 32,1187,79,4,1,4,1,155,1,2,247,,,,,,,,,,,,,,,,,,
ST. ANDREWS 33,736,39,1,0,1,2,73,0,1,117,,,,,,,,,,,,,,,,,,
ST. ANDREWS 34,2391,96,3,0,9,3,227,1,3,342,,,,,,,,,,,,,,,,,,
ST. ANDREWS 35,1841,91,3,0,7,2,199,0,6,308,,,,,,,,,,,,,,,,,,
ST. ANDREWS 36,1767,101,6,0,7,1,230,2,6,353,,,,,,,,,,,,,,,,,,
ST. ANDREWS 37,3826,238,5,1,16,5,352,2,10,629,,,,,,,,,,,,,,,,,,
NORTH CHARLESTON 1,1048,261,7,1,2,1,6,1,0,279,,,,,,,,,,,,,,,,,,
NORTH CHARLESTON 2,680,121,2,0,0,0,4,0,2,129,,,,,,,,,,,,,,,,,,
NORTH CHARLESTON 3,1296,112,7,0,5,2,160,1,3,290,,,,,,,,,,,,,,,,,,
NORTH CHARLESTON 4,1315,277,3,1,0,1,33,2,3,320,,,,,,,,,,,,,,,,,,
NORTH CHARLESTON 5,2148,503,5,0,5,3,17,8,2,543,,,,,,,,,,,,,,,,,,
NORTH CHARLESTON 6,1496,396,11,1,2,1,13,8,1,433,,,,,,,,,,,,,,,,,,
NORTH CHARLESTON 7,1822,409,9,2,2,1,21,1,3,448,,,,,,,,,,,,,,,,,,
NORTH CHARLESTON 8,940,79,2,0,1,0,64,1,3,150,,,,,,,,,,,,,,,,,,
NORTH CHARLESTON 9,1569,207,8,0,2,2,89,2,9,319,,,,,,,,,,,,,,,,,,
NORTH CHARLESTON 10,1547,321,10,1,6,3,50,4,4,399,,,,,,,,,,,,,,,,,,
NORTH CHARLESTON 11,903,61,2,0,4,2,86,0,5,160,,,,,,,,,,,,,,,,,,
NORTH CHARLESTON 12,771,59,3,0,2,1,60,1,4,130,,,,,,,,,,,,,,,,,,
NORTH CHARLESTON 13,1036,269,4,0,2,1,20,4,1,301,,,,,,,,,,,,,,,,,,
NORTH CHARLESTON 14,648,92,0,0,6,3,39,1,1,142,,,,,,,,,,,,,,,,,,
NORTH CHARLESTON 15,1420,282,9,0,5,1,37,1,4,339,,,,,,,,,,,,,,,,,,
NORTH CHARLESTON 16,1039,199,4,1,0,1,29,1,1,236,,,,,,,,,,,,,,,,,,
NORTH CHARLESTON 17,926,191,6,0,3,1,13,1,1,216,,,,,,,,,,,,,,,,,,
NORTH CHARLESTON 18,1867,345,11,1,1,1,63,3,4,429,,,,,,,,,,,,,,,,,,
NORTH CHARLESTON 19,1234,219,5,0,4,0,32,2,1,263,,,,,,,,,,,,,,,,,,
